2018-12-13 19:41:34,982 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\main\resources
2018-12-13 19:41:34,984 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 19:41:34,984 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\test\resources
2018-12-13 19:42:27,874 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 19:42:27,874 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\main\resources
2018-12-13 19:42:27,876 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 19:42:27,876 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\test\resources
2018-12-13 19:43:01,989 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp.bank:OnlineBanking:0.0.1-SNAPSHOT @ D:\Amit\workspace_FinalProject\OnlineBanking\pom.xml.
2018-12-13 19:43:02,886 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-13 19:43:02,886 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Amit\workspace_FinalProject\OnlineBanking\src\main\resources
